id,HetGNN,KGAT,NIRec
u232,0.15,0.1,0.95
u233,0,0.1,0.8
u234,0.15,0.1,0.95
u235,0,0,0.25
u236,0.05,0.05,0.8
u237,0,0.05,0.6
u238,0.2,0.1,0.95
u239,0.2,0.1,1
u240,0.2,0.15,0.9
u241,0.1,0.05,0.95
u242,0.05,0.1,0.95
u243,0.1,0.05,0.8
u244,0,0,0.8
u245,0.05,0.15,0.9
u246,0,0.05,0.65
u247,0.1,0.05,0.95
u248,0.05,0.05,0.9
u249,0.1,0.15,0.9
u250,0,0.05,0.8
u251,0.1,0,0.8
u252,0,0.1,0.85
u253,0.05,0.1,0.75
u254,0.1,0.05,0.85
u255,0.15,0.1,0.75
u256,0,0.1,0.9
u257,0.05,0.05,0.9
u258,0,0.2,0.95
u259,0,0.1,0.9
u260,0.05,0.05,1
u261,0,0.1,0.95
u262,0.2,0.2,0.6
u263,0,0.05,0.85
u264,0.1,0.05,0.95
u265,0.1,0,0.6
u266,0.15,0.1,0.95
u267,0.05,0.05,0.85
u268,0,0,0.55
u269,0.1,0.15,0.9
u270,0,0,0.65
u271,0.05,0.05,0.75
u272,0.05,0.1,1
u273,0.2,0.15,0.95
u274,0.05,0,0.95
u275,0,0.05,0.85
u276,0.05,0,0.9
u277,0,0,0.95
u278,0.15,0,0.8
u279,0.1,0,0.85
u280,0,0.1,0.45
u281,0.05,0.15,0.65
u282,0.05,0,0.95
u283,0.1,0.05,0.95
u284,0.05,0,0.7
u285,0,0,0.75
u286,0,0.2,0.85
u287,0,0,0.8
u288,0,0.1,0.7
u289,0.1,0.1,0.85
u290,0,0,0.7
u291,0.05,0.05,0.95
u292,0.1,0,0.9
u293,0.15,0.1,0.85
u294,0.1,0.15,0.95
u295,0,0.05,1
u296,0,0.15,0.8
u297,0.15,0.05,0.9
u298,0,0.15,0.85
u299,0,0.15,0.95
u300,0.1,0.05,0.95
u301,0.05,0,0.65
u302,0.1,0.1,0.95
u303,0.05,0.1,0.95
u304,0.05,0.05,0.8
u305,0,0.1,0.95
u306,0.15,0.15,1
u307,0.05,0.2,0.9
u308,0.05,0.05,0.9
u309,0,0.1,0.9
u310,0,0.05,0.95
u311,0.05,0.1,0.9
u312,0.05,0.2,1
u313,0.05,0.2,1
u314,0.05,0.15,0.9
u315,0.05,0,0.85
u316,0.05,0.1,0.85
u317,0.05,0.3,0.85
u318,0.1,0,0.9
u319,0.05,0.1,0.8
u320,0,0,0.8
u321,0.05,0.1,0.8
u322,0.05,0.2,0.9
u323,0.15,0.05,0.8
u324,0,0.05,0.75
u325,0.05,0,0.9
u326,0.05,0.05,0.85
u327,0.1,0,0.8
u328,0.05,0,1
u329,0.05,0.05,0.9
u330,0.1,0.15,0.8
u331,0,0.1,0.95
u332,0,0.05,0.95
u333,0,0.1,0.85
u334,0,0.1,0.9
u335,0.05,0.1,0.95
u336,0,0.05,0.8
u337,0.05,0.1,0.6
u338,0,0,0.6
u339,0.1,0,0.85
u340,0,0.05,0.85
u341,0.05,0.05,0.6
u342,0.1,0.2,1
u343,0.05,0.05,0.85
u344,0.1,0,0.8
u345,0,0.05,0.5
u346,0.05,0.1,0.75
u347,0,0,0.8
u348,0.05,0.2,1
u349,0,0,0.75
u350,0,0.05,0.9
u351,0.15,0.05,0.95
u352,0,0.1,0.75
u353,0.15,0,0.9
u354,0.1,0,0.9
u355,0,0.2,1
u356,0.1,0,0.8
u357,0.05,0.1,1
u358,0.05,0,0.75
u359,0.05,0.05,0.9
u360,0.15,0.05,0.9
u361,0.1,0.05,0.9
u362,0,0.15,0.85
u363,0.15,0.1,0.75
u364,0.15,0.2,0.9
u365,0.1,0.05,0.8
u366,0.05,0.05,0.9
u367,0,0.05,1
u368,0.15,0,0.9
u369,0.1,0.2,1
u370,0,0.05,0.7
u371,0.1,0.05,0.95
u372,0,0.05,0.7
u373,0.15,0.2,0.8
u374,0.05,0.05,0.8
u375,0.1,0.1,0.75
u376,0,0.05,0.95
u377,0,0.05,0.7
u378,0.15,0,0.7
u379,0.05,0.05,0.85
u380,0.2,0.25,0.85
u381,0,0,0.8
u382,0.1,0.1,0.95
u383,0.05,0.1,1
u384,0,0.05,0.6
u385,0,0.05,0.9
u386,0.05,0.05,0.85
u387,0.05,0.05,0.7
