id,HetGNN,KGAT,NIRec
u180,0.759,0.8188,0.6798
u181,0.7618,0.7989,0.7607
u182,0.6903,0.7106,0.6553
u183,0.7198,0.862,0.726
u184,0.7827,0.8509,0.7413
u185,0.8346,0.8571,0.7989
u186,0.7972,0.8157,0.8526
u187,0.6825,0.8112,0.7447
u188,0.7155,0.8066,0.7184
u189,0.7285,0.8051,0.7575
u190,0.6984,0.7883,0.7137
u191,0.7714,0.8411,0.7141
u192,0.7688,0.8208,0.7001
u193,0.7001,0.837,0.7422
u194,0.7393,0.762,0.665
u195,0.8137,0.8993,0.8308
u196,0.6937,0.7843,0.7041
u197,0.7226,0.7969,0.7032
u198,0.801,0.8548,0.79
u199,0.7881,0.8583,0.8877
u200,0.7061,0.8858,0.7319
u201,0.8069,0.8752,0.8
u202,0.6916,0.8464,0.7149
u203,0.7782,0.8249,0.7486
u204,0.8612,0.8644,0.8938
u205,0.8742,0.9107,0.9063
u206,0.7864,0.8453,0.8765
u207,0.7574,0.8609,0.7532
u208,0.8239,0.8659,0.7991
u209,0.7651,0.853,0.7921
u210,0.7938,0.872,0.8849
u211,0.732,0.8366,0.6951
u212,0.7832,0.8625,0.8347
u213,0.8868,0.9,0.886
u214,0.7621,0.8918,0.7994
u215,0.7201,0.8489,0.808
u216,0.7469,0.8562,0.7954
u217,0.8244,0.8537,0.8185
u218,0.697,0.7978,0.7317
u219,0.7549,0.8602,0.7254
u220,0.7332,0.8347,0.7803
u221,0.7765,0.8577,0.862
u222,0.7985,0.8143,0.8337
u223,0.781,0.8609,0.7803
u224,0.752,0.8254,0.7596
u225,0.7488,0.804,0.7763
u226,0.7549,0.7634,0.7746
u227,0.6575,0.8407,0.6539
u228,0.7578,0.8476,0.7681
u229,0.8233,0.8799,0.8073
u230,0.6795,0.798,0.5758
u231,0.7101,0.8386,0.661
u232,0.823,0.8466,0.889
u233,0.8251,0.8439,0.8588
u234,0.8541,0.856,0.9024
u235,0.7167,0.8205,0.7159
u236,0.754,0.8296,0.7921
u237,0.6531,0.801,0.647
u238,0.8739,0.8971,0.8645
u239,0.8586,0.8978,0.8842
u240,0.8157,0.866,0.8522
u241,0.8452,0.8544,0.8417
u242,0.7606,0.8368,0.8352
u243,0.7334,0.8153,0.7531
u244,0.8133,0.8046,0.761
u245,0.8643,0.879,0.7988
u246,0.6384,0.8106,0.6718
u247,0.7818,0.8653,0.8442
u248,0.8063,0.8429,0.8045
u249,0.79,0.828,0.8296
u250,0.8331,0.8533,0.8069
u251,0.819,0.8346,0.7371
u252,0.7508,0.8435,0.735
u253,0.6797,0.819,0.707
u254,0.7708,0.8497,0.7464
u255,0.8176,0.8442,0.7936
u256,0.4443,0.8803,0.8278
u257,0.8394,0.8785,0.8742
u258,0.8124,0.8323,0.8174
u259,0.7759,0.8317,0.7393
u260,0.8211,0.858,0.9054
u261,0.7537,0.7784,0.7224
u262,0.8769,0.8856,0.7343
u263,0.7233,0.7773,0.7364
u264,0.844,0.8846,0.8241
u265,0.7443,0.802,0.6935
u266,0.8414,0.902,0.8252
u267,0.7471,0.8419,0.7368
u268,0.7018,0.7798,0.8088
u269,0.8619,0.9172,0.8066
u270,0.6733,0.887,0.6834
u271,0.7427,0.7492,0.6946
u272,0.8049,0.8638,0.8912
u273,0.8218,0.8458,0.8143
u274,0.7253,0.8101,0.7607
u275,0.8466,0.8878,0.8498
u276,0.739,0.8269,0.8202
u277,0.7141,0.8286,0.7464
u278,0.7702,0.7955,0.7945
u279,0.7166,0.7911,0.7486
u280,0.5256,0.9455,0.5664
u281,0.7501,0.8567,0.6491
u282,0.7591,0.8118,0.8797
u283,0.7453,0.7645,0.7425
u284,0.6272,0.8432,0.695
u285,0.6927,0.7969,0.7476
u286,0.6698,0.8239,0.7259
u287,0.6475,0.7773,0.6395
u288,0.6873,0.7595,0.7032
u289,0.7924,0.8643,0.7461
u290,0.7654,0.8372,0.7027
u291,0.7504,0.7819,0.7255
u292,0.8462,0.8573,0.856
u293,0.7611,0.831,0.8221
u294,0.8804,0.9189,0.8154
u295,0.8263,0.8358,0.8696
u296,0.8047,0.8296,0.721
u297,0.712,0.8292,0.6785
u298,0.7269,0.827,0.8006
u299,0.841,0.8888,0.8848
u300,0.794,0.8426,0.8101
u301,0.7227,0.7843,0.6458
u302,0.8636,0.8879,0.8305
u303,0.7502,0.7783,0.7787
u304,0.7298,0.7702,0.7276
u305,0.7248,0.7879,0.7887
u306,0.8184,0.9101,0.888
u307,0.8044,0.8049,0.8398
u308,0.8051,0.8725,0.8574
u309,0.8016,0.8739,0.7745
u310,0.7967,0.8468,0.7811
u311,0.7516,0.789,0.7786
u312,0.8695,0.8877,0.8926
u313,0.8239,0.8666,0.8528
u314,0.8137,0.8322,0.8111
u315,0.6799,0.8686,0.709
u316,0.7237,0.8641,0.7273
u317,0.7471,0.8574,0.7982
u318,0.7064,0.8804,0.8265
u319,0.7418,0.8028,0.74
u320,0.775,0.887,0.7393
u321,0.6712,0.8077,0.6886
u322,0.796,0.8787,0.812
u323,0.8542,0.8511,0.8108
u324,0.7135,0.7376,0.7109
u325,0.7527,0.8458,0.7896
u326,0.7649,0.8113,0.7792
u327,0.7444,0.8457,0.6972
u328,0.7184,0.8243,0.8443
u329,0.7773,0.7824,0.8058
u330,0.7524,0.8504,0.7415
u331,0.7565,0.8023,0.7645
u332,0.7194,0.8237,0.7956
u333,0.8105,0.859,0.8023
u334,0.7472,0.7961,0.8227
