彼得·格林纳威
史蒂文·索德伯格
格伦·费卡拉
约翰·里夸
金知云
乔尔·科恩
伊桑·科恩
埃米尔·库斯图里卡
詹姆斯·曼高德
查尔斯·赫曼-温菲尔德
庾河
潘礼德
Peter Whitmore
Sydney Lotterby
亚当·布鲁克斯
罗兰·艾默里奇
查理·考夫曼
克里斯蒂安·蒙吉
李康生
菲利普·卡德尔巴赫
姜信孝
弗兰克·威利
肯·洛奇
克雷格·吉勒斯佩
克里斯托夫·奥诺雷
米洛拉德·科斯蒂奇
Robert Kenner
克利斯汀·迪特
约翰·伊文
香特尔·阿克曼
比利·怀德
赛尔乔·莱昂内
米谢拉·帕夫拉托娃
金基德
武玉登
理查德·艾尔
杰伊·欧力瓦
Louis Lefebvre
妮琪·卡罗
彼特·道格特
大卫·西尔弗曼
李·昂克里奇
斯蒂芬·埃利奥特
巴瑞·莱文森
维姆·文德斯
盖·里奇
博比·法雷里
彼得·法雷里
赫伯特·罗斯
罗伯托·罗西里尼
F·W·茂瑙
埃利达尔·梁赞诺夫
米克洛斯·杨索
劳尔·鲁伊斯
卡洛斯·绍拉
乔·庄斯顿
米洛斯·福尔曼
比格斯·鲁纳
沃纳·赫尔佐格
亚历克斯·普罗亚斯
安德鲁·亚当森
让-吕克·戈达尔
金豪俊
Rhode Montijo
Kenn Navarro
让·科克托
乔治·克鲁尼
让-皮埃尔·梅尔维尔
杨·史云梅耶 Jan Svankmajer
奥利维耶·阿萨亚斯
格斯·范·桑特
汤姆·提克威
沃尔特·塞勒斯
亚历山大·佩恩
阿方索·卡隆
希尔万·肖默
韦斯·克雷文
伊莎贝尔·科赛特
顾伦德·查达哈
文森佐·纳塔利
Vyacheslav Kotyonochkin
汤姆·波顿
克洛德·贝里
平川雄一朗
袁和平
理查德·林克莱特
让-皮埃尔·达内
吕克·达内
卡欧利·乌梅萨罗
合田经郎
约翰·汉博格
乔·伯灵格
Kate Dart
大卫·泽尔纳
约翰·埃里克·道达尔
赛佛林·费奥拉
陈模瑛
金镇满
亚历山大·西伯恩
Mandie Fletcher
迈克尔·肖沃特
马丁·麦克唐纳
格里格·伯兰蒂
彼得·惠特莫尔
李娜静
金智永
阿诺·戴普勒尚
维克多·马尔多纳多
蒂姆·米勒
哈维尔·雷西奥·格雷西亚
Michael Matheson
埃拉·列姆哈根
弗雷迪·德瓦斯
艾玛·纳珀
查登·亨特
艾米·约克·鲁宾
杰森·恩斯勒
安妮·弗莱彻
阿奴·瓦利亚
杰伊·卡拉斯
托德·霍兰德
丽贝卡·爱舍
斯图尔特·贝亚蒂耶
多米尼克·蒙法尼
杨尼克·西斯泰德·雅各布森
巴沃·德弗恩
西德尼·洛特比
李胤基
永山耕三
斯坦利·库布里克
郑凡植
乔治·卢卡斯
彼得·孙
梅峰
莫娜·阿查切
肖恩·利维
李玉
董润年
罗阿尔·乌索格
罗泓轸
伍迪·艾伦
高畑勋
王晶
马克·韦布
福田雄一
坪井敏雄
山本刚义
土井裕泰
南希·迈耶斯
吴宇森
米开朗基罗·安东尼奥尼
张建亚
邓超
俞白眉
伍思薇
张晓波
简·坎皮恩
肖恩·贝克
艾伦·巴利拉罗
费德里科·费里尼
大友克洋
萧雅全
北野武
迈克尔·贝
法提赫·阿金
艾伦·休斯
岩井俊二
姜文
谢卡尔·卡普尔
乔舒亚·马斯顿
米拉·奈尔
娜塔莉·波特曼
布莱特·拉特纳
史蒂文·斯皮尔伯格
苏有朋
温子仁
汪俊
尔冬升
戴铁郎
熊南清
巴兹·鲁赫曼
埃德加·赖特
阿尔弗雷德·希区柯克
迈克尔·斯派瑞
彼得·斯派瑞
瑞秋·塔拉蕾
尼克·赫伦
本·卡隆
山崎贵
特伟
钱家骏
唐澄
蒂姆·波顿
让-马克·瓦雷
弗朗西斯·劳伦斯
詹姆斯·格雷
马克·福斯特
史蒂芬·野村·斯奇博
布莱德利·库珀
内田贤治
克林特·伊斯特伍德
李相日
J·J·艾布拉姆斯
奥利佛·斯通
汤姆·福特
萨维里奥·科斯坦佐
安德鲁·尼科尔
肯尼·奥特加
弗朗西斯·福特·科波拉
