1045,[343 2335 5769 7221 7761 8079 10633 11439],[1.6576007e-05 0.01011626 0.052590623 0.042717807 0.47040504 0.42096722 0.002359496 0.0008269426]
1046,[344 2183 7103 7904],[2.4168e-06 0.0005447079 0.99183214 0.007620721]
1047,[344 1989 4809 5608 6297 6305 9021 11546 11809],[1.2874195e-06 0.0006070128 0.00040050718 0.013809008 0.81365997 4.344701e-06 0.17136922 5.9308364e-05 8.940005e-05]
1048,[344 1352 1811 9492 11833 12197],[0.00029060224 0.00083628175 0.097025834 0.071840994 0.5238701 0.30613616]
1049,[344 1504 3173 3905 5876 10229],[0.01830914 1.7510545e-05 0.90346086 0.015967568 0.0010779942 0.06116688]
1050,[345 2644 3124 3414 8157 9253 9352 9874],[4.4246567e-06 0.0059527233 0.016833981 0.015090734 0.92641807 0.01549007 0.018228766 0.0019812582]
1051,[345 2380 6609 8367 10163 10297 10414 10437],[1.489512e-06 1.7416884e-06 0.9812671 0.017160866 0.00021599315 0.0012583296 9.372249e-05 7.925101e-07]
1052,[345 2383],[0.02240739 0.97759265]
1053,[346 381 531 637 990 1014 1070 1118 1199 1340 1478 1489 1492 1768 2299 2363 2881 3781 4095 4170 4914 5554 6616 7895 7960 8079 8402 9468 10291 10294 10311 10704 11054 11731],[1.1613457e-06 0.00019074799 8.594484e-06 4.108007e-07 6.307194e-07 4.21916e-07 7.04201e-07 3.4362643e-08 1.4102784e-07 1.4109005e-06 3.9979113e-06 3.4082193e-06 0.0004532382 0.00083634444 2.9739227e-05 0.0002539035 1.432882e-05 0.045788713 0.010085994 0.010014903 0.00806421 1.9856408e-05 0.8670806 0.0019781694 4.3094615e-06 4.2322823e-05 5.2286137e-05 0.00096789846 0.0013158417 1.03179346e-07 1.2536758e-05 0.05061451 0.0017441558 0.00041433453]
1054,[347 5129 7598 7657 9692 11274],[8.1425753e-07 0.5862736 0.0003041688 0.39858752 0.014814881 1.8981418e-05]
1055,[347 5912 6155 7319],[1.4456486e-06 0.00096997555 0.12333296 0.8756955]
1056,[347 2772 11274],[0.0024589875 0.9910931 0.006447954]
1057,[347 501 1348 7206],[3.2679321e-09 3.5029267e-08 5.863759e-08 0.9999999]
1058,[348 385 730 745 834 994 1061 1088 1092 1128 1236 1609 2144 2815 3192 3621 3955 4354 5817 5818 6825 7601 7642 8674 9066 9844 9852 10186 10201 10564 10723 10756 10772 11415 11568 11830 11831 11993 12215 12218],[7.1989816e-05 2.298575e-05 5.5792636e-05 1.5159857e-05 1.28348875e-05 7.70203e-06 4.064195e-05 1.5771831e-05 3.373966e-05 1.8733499e-05 2.969971e-05 2.0609737e-05 0.00887296 0.003655103 0.028361078 0.0013637095 0.0007116523 0.00019526843 0.00015223047 0.003300314 0.00014330039 0.8501847 0.06338558 0.0010096765 0.025509553 0.0005301144 0.0014521326 0.00040311867 0.00037163234 3.3162294e-05 6.909704e-05 3.8357055e-05 0.00054136885 0.00018705925 2.9714894e-05 0.00075332704 0.004039395 0.00237953 3.9337843e-05 0.0019418863]
1059,[348 385 442 796 933 1043 1046 1061 1092 1142 1633 2057 2170 2188 3621 4000 4820 5330 5632 7642 7682 8552 9551 9555 9860 10274 10450 11069 11073 11772 11797 11875 12311],[5.733956e-07 2.355418e-07 6.129632e-08 6.1774927e-07 6.071312e-07 4.0120884e-07 3.244216e-08 8.5403315e-08 9.1969824e-08 2.2194796e-07 6.239046e-08 3.6011526e-05 0.00021443452 8.740651e-06 0.0009821368 0.00036233847 0.0006001956 3.05839e-05 0.0013681933 0.004787865 0.00014749596 0.8518578 0.00021789614 0.13765146 0.000988282 0.00020890997 1.3925026e-05 3.945706e-06 0.0004601269 1.5902362e-05 3.1161366e-05 1.307136e-07 9.426719e-06]
1060,[348 417 535 619 1024 1465 1531 1560 1706 1796 1809 2236 2539 2576 2864 3050 3194 3214 3460 3489 4103 4387 6917 7034 7451 8028 8458 8588 8884 9071 9621 9688 10399 10475 10583 11049 11090 11269 11612 11835 11841 11863 11883 11906 12025],[5.360346e-08 2.0077916e-05 2.4144733e-06 9.565287e-06 2.7596066e-06 8.096641e-07 6.342899e-06 1.2464129e-05 1.8723173e-05 0.00011400435 0.0034830563 0.004051517 0.004672124 0.0016854448 0.009667355 2.474362e-05 0.00874708 7.167708e-05 7.7364275e-05 0.007823275 0.0011098399 0.94495094 2.9164005e-07 0.0007661496 1.8857212e-05 5.232787e-05 2.965691e-05 0.0015996507 0.0004539936 0.00063223415 0.004903182 0.0018244837 1.1015722e-05 0.0009188501 1.0388508e-05 2.5366621e-06 0.001111717 1.2617092e-05 1.0634551e-05 0.0007991472 8.94751e-07 0.00018083278 3.9355922e-07 6.7851687e-07 0.000107873246]
1061,[348 1943 2236 3771 3955 4000 4712 7796 8553 8588 8627 9688 10947 11049 11576],[2.0788545e-06 0.00018150432 1.3163993e-06 0.012583341 0.00025029425 0.0023407233 5.3297328e-05 0.016958537 0.9384639 8.165004e-06 0.028272478 0.00068124547 1.5801968e-05 0.00016496726 2.2429373e-05]
1062,[349 771 776 919 5826 6531 7795],[0.0026347083 0.009489767 0.0044997274 0.011978732 0.7339708 0.09757197 0.13985433]
1063,[349 919 1920 5653 6531 7874 8475 8990 10128 10435 10480 11146],[4.749513e-05 0.00015674478 0.011682186 0.0008842758 0.16989452 0.027736971 0.016147517 0.00023583353 0.60327315 1.0340411e-05 0.115630195 0.054300833]
1064,[349 661 3614 9676],[0.00018972166 2.0715577e-05 0.3876633 0.6121263]
1065,[349 771 919 10627],[0.002160852 0.0018006945 0.00039098263 0.9956475]
1066,[350 858 3670 10878 11021 11163 11782],[0.0029850407 0.00074019923 0.0029636193 0.046510376 0.93913656 0.0072367345 0.00042750864]
1067,[350 470 6173],[1.7966091e-06 2.0444909e-06 0.9999962]
1068,[351 368 1343 2995 5996],[0.17152748 0.009432778 0.017791113 0.08786702 0.7133815]
1069,[351 5417 8221],[6.0611063e-05 0.00022948296 0.9997099]
1070,[351 381 764 1838 4653 5585 7786 8937 9309 9430 9761 11444 12265],[1.1611187e-06 1.8133833e-06 1.1437895e-07 0.0002237112 2.4767141e-05 0.010264683 0.043332204 0.00060752814 0.63451797 0.31020138 7.0209644e-06 0.00077703176 4.065727e-05]
1071,[351 999 2741 8107 10804],[0.010380244 0.0002933227 0.15248622 0.7838914 0.05294882]
1072,[352 1838 9716],[0.021315295 0.0032539961 0.97543067]
1073,[352 11887],[0.24157736 0.7584227]
1074,[353 586 684 740 893 920 1206 1430 2514 2557 2852 3811 4366 4582 4754 4930 5031 5309 5323 6148 7203 7490 7516 7600 7728 7761 8095 8204 8525 8864 9289 9732 9825 10171 10314 10380 10537 10627 10958 11337 11403 11779 11876 12362 12364],[1.189129e-06 7.5950976e-07 5.493047e-06 1.12846e-06 2.3226705e-06 4.4070214e-07 2.1741961e-07 8.386084e-05 5.1267747e-05 0.0038677966 2.4720077e-06 1.450596e-06 0.00384604 0.006293244 0.0007204187 0.00063581485 0.4687177 0.0018745408 0.0004001288 3.0784033e-06 7.0924616e-06 0.23200066 0.010674458 0.215439 0.026130758 0.0006844166 3.5066864e-06 0.00016470838 0.00079250673 0.00019603592 0.012861538 0.0039805663 6.102719e-06 0.0038604303 0.004762286 0.00020767012 0.000597254 0.0002843853 7.155506e-05 0.00015694962 0.0004097473 7.4318154e-06 2.653164e-05 2.5169024e-05 0.00013989535]
1075,[353 9548 9865 11047 11995],[0.0036721374 0.8797155 0.1107466 0.0006460352 0.005219822]
1076,[353 396 3329 10618 11675],[0.004501316 0.0001877969 0.0036043562 0.98916453 0.0025420082]
1077,[354],[1.0]
1078,[354 1562 3846 8163 11153 11719 12036],[0.009454219 0.0013172432 0.9634938 0.0007240537 0.0026895192 0.006162412 0.016158767]
1079,[355 2339 3429 4802 6864 9970 11909],[2.1843817e-08 6.61208e-05 0.027036255 6.238534e-05 0.9638622 0.008972906 1.9251574e-07]
1080,[355 1283 5499 7552],[4.4326104e-08 0.0056194025 0.7945628 0.19981776]
1081,[355 575 1114 1601 3161 3386 3839 5084 6244 6253 6361 7952 9314 9910 11018 11546 11646 11722],[3.6555386e-07 4.1323938e-06 1.3812431e-06 3.04701e-06 0.00024515073 0.00015670476 0.012612325 0.09405021 0.77598906 0.00011028427 0.007905289 0.02574021 0.0012240873 0.08078306 1.3335472e-05 0.00107954 2.9139533e-06 7.881774e-05]
1082,[355 939 1169 1299 4362 9031 11799],[0.05115753 0.03531758 0.059411906 0.1708321 0.08089979 0.0012817917 0.6010993]
1083,[356 785 1333 1705 1809 1838 1923 2079 2136 2554 2775 2791 2841 2858 2918 3374 3648 4278 4279 4337 4372 4761 4938 5101 5264 5443 5639 5649 5795 7000 7504 7959 7975 8398 8833 9496 9527 10050 10322 10323 11302 11555 11576 11633 11750 11993 12099 12116 12154],[4.620853e-08 2.726869e-07 1.8785256e-06 9.81722e-07 1.278112e-06 7.379238e-06 1.0729782e-06 0.007180665 0.0013458068 0.001001674 4.3093827e-05 5.531086e-06 3.0456533e-07 0.00027977276 0.005666812 0.015515289 0.0039722584 0.0055095674 2.5646166e-05 0.0011379208 0.00018834641 0.0007320308 0.00024290313 6.281678e-05 0.003919071 4.265616e-05 0.50027305 0.0005935699 0.000105485844 0.00019622414 0.17872727 2.1121588e-05 0.0012460864 0.012197448 0.25662586 0.0011144251 9.0736095e-05 0.00032865306 0.0013805216 0.00010079592 2.0513038e-05 4.9501125e-07 1.5455049e-05 1.0152445e-05 1.5602e-05 1.7435643e-05 2.143081e-05 1.1960609e-05 5.723849e-07]
1084,[356 417 453 614 785 818 835 891 1197 1369 1531 1560 1705 1911 2727 2876 2878 3006 3507 4073 4279 4337 4405 4520 5008 5070 5120 5174 6126 6723 6815 7959 9203 9246 9372 9555 9621 9812 10098 10126 10188 10321 10362 10423 10583 10679 11059 11073 11090 11243 11261 11612 11628 11783 11835 12174 12308 12311],[1.5984833e-05 7.1354752e-06 2.6186285e-06 1.4412013e-06 6.284109e-07 8.3466475e-06 1.8210642e-06 2.8842175e-07 3.0592963e-07 1.6078293e-05 1.0753274e-05 3.691485e-06 1.1447958e-05 7.435824e-07 0.004551506 1.9228694e-06 0.00465102 2.4818014e-06 0.00011176556 2.6165442e-06 0.000114945564 0.0035491444 5.9753205e-05 2.453944e-05 0.0032442638 0.00025318985 2.6477393e-05 0.008283464 0.0007932023 0.00041775967 0.16640519 0.00045937466 0.010870007 2.31021e-05 0.04811183 0.013444114 3.9075785e-05 0.73340935 2.516078e-06 9.463761e-05 0.0004471974 0.00020208755 5.692717e-06 2.845672e-07 7.0648144e-05 1.4382521e-06 2.9311102e-05 3.2007873e-05 1.0471168e-05 4.6140744e-06 7.870157e-05 1.419466e-05 3.292859e-05 3.8031228e-06 9.355106e-06 1.0979804e-05 1.0000658e-05 7.717812e-06]
1085,[356 1040 4524 10596],[0.0005672545 0.0074300207 0.5403059 0.45169678]
1086,[356 504 1142 2531 4130 5008 6742 8620 9475 11043 11090 11967],[0.0012329817 4.0502084e-05 1.9576171e-05 0.008892343 0.0018392307 0.07681856 0.0049654446 0.004034189 0.8898872 0.00038543434 0.010857305 0.0010272252]
1087,[357 1526 1678 1704 3595 4395 6099 7278 7596 11373],[0.00014951036 0.00047207094 1.367782e-05 0.0017048105 0.001188288 0.2891876 0.003928852 0.41836375 0.28484255 0.0001489367]
1088,[357 625 812 821 1110 2189 2961 3217 5990 6877 9565 11687 12057],[7.16297e-07 2.7212366e-07 1.5677164e-06 2.1156644e-07 2.8287737e-08 1.4493393e-06 0.99176663 5.673113e-07 0.00606828 0.0020934087 4.651101e-05 1.8793526e-05 1.495837e-06]
1089,[358 7777],[0.7578857 0.24211423]
1090,[358 409 1303 1621 3329 3583 4580 4912 6771 11142 11357 11419],[0.00073929667 5.179781e-07 7.362809e-07 2.3193322e-06 0.93655545 0.0030746285 0.04584074 6.38925e-05 0.012096151 3.9644186e-05 5.2774518e-05 0.0015338793]
1091,[358 7097 9315],[0.0011955117 0.2712284 0.7275761]
1092,[359 1417 3205 4419 5365 5665 5816 5821 6416 6580 6612 6926 11863],[2.5572561e-08 4.5338305e-07 3.0695035e-06 0.00011180896 0.00031514422 0.9763105 0.003875052 0.0024649848 8.364873e-08 0.00023911202 0.016642148 3.7726946e-05 8.377685e-10]
1093,[359 1062 1727 1918 2370 3017 3507 4279 4520 4720 5847 6612 6691 8354 8752 11530 11711 11787],[7.305542e-08 6.884886e-11 0.001201603 1.3866286e-07 1.7524583e-07 7.954454e-07 1.579234e-06 6.980008e-07 1.8132824e-06 3.0233396e-05 0.03557515 0.0035022125 0.74438626 0.0004910625 0.21476795 3.634428e-05 1.8752454e-06 1.9975728e-06]
1094,[359 1313 1915 2370 5120 5816 8289 10101],[7.100476e-06 9.72097e-07 0.0019021642 2.4893054e-05 0.0022859334 0.03528338 0.021791954 0.93870366]
1095,[359 714 3478 5816 7959 9926 10035 10101 10731 11742 11914],[4.8898717e-05 6.919382e-05 1.12469725e-05 0.002340994 0.0017391169 0.033720974 0.9620418 2.2277638e-06 2.2747745e-06 1.6152611e-06 2.1691554e-05]
1096,[359 2690 3300 4843 7703 9762 9956 11742 11914],[1.4270192e-06 0.17623128 0.018651536 0.72415483 0.052623175 0.0036634544 0.02131819 6.253049e-05 0.0032936914]
1097,[360 589],[0.61812747 0.38187248]
1098,[360 1135 4242 11675],[0.00016214384 4.4594617e-05 0.98206514 0.017728115]
1099,[360 1382],[0.07411524 0.9258848]
1100,[361 1845 2404 3010 4429 4567 7124 7486],[1.9469664e-06 3.416656e-05 0.000202898 0.00016301479 0.22736017 0.00019529712 0.7533628 0.018679705]
1101,[361 2404 5261 7124 10212 10464],[2.516859e-06 0.008613147 0.0011998015 0.98705834 2.7422455e-05 0.003098739]
1102,[362 3441 4008 9971],[0.022577304 0.22234395 0.37287176 0.382207]
1103,[362 9389],[0.0073729274 0.9926271]
1104,[363 3994],[3.0003499e-05 0.99996996]
1105,[363 3994 6786],[0.00031628125 0.7251273 0.27455643]
1106,[363 3994],[0.00082660525 0.99917334]
1107,[364 6135 8964 9214 11232],[2.0618932e-08 0.8948309 0.0020952236 0.10307355 2.7481843e-07]
1108,[364 3768 4885],[4.018369e-06 0.009188363 0.9908076]
1109,[364 1086 2520],[0.06602208 0.008173963 0.92580396]
1110,[365 1403 2184 2250 2681 4829 4835 5798 6069 6467 9058 9573 9685 10386 11603 11701],[6.3310295e-06 6.550047e-05 0.0005809427 0.0006292428 0.0009944722 0.6267206 0.12255466 0.18812558 0.022503136 0.0030699458 0.0072080395 0.01745915 0.0039261905 0.0008727431 0.0044150967 0.00086829904]
1111,[365 2476 6261 7435 8616 9534 10247],[8.060612e-05 0.00046283216 0.0057626576 0.017751751 0.0043017534 0.93606645 0.035574008]
1112,[365 4534],[0.45370632 0.5462937]
1113,[366 1287 4091 5457 6050 6560 8158 8921 10922],[2.5170008e-05 0.00019189811 0.0027392437 0.031281848 6.5889785e-06 0.28736857 0.44195938 0.22089192 0.015535353]
1114,[366 681 1287 2856 3545 3943 4462 4686 4807 5786 8967 9710 9769 10922 11395 12121 12322],[1.073567e-06 6.1189667e-07 0.000112480426 0.0018817644 0.90809023 9.616971e-05 0.0006137798 7.795127e-05 0.018668124 0.0552591 0.0011324658 0.0008883139 0.012124005 0.0010051148 3.5225337e-05 6.1096807e-06 7.499328e-06]
1115,[366 1287 2228 3645 4607 8241 10922 11277 11751],[0.00013845638 0.0003336105 0.82868457 0.00037971957 0.0052925204 2.6168073e-06 0.16188133 0.003272871 1.42924955e-05]
1116,[366 10922],[0.09106964 0.9089303]
1117,[366 10922],[0.05063389 0.94936603]
1118,[368 679 815 1343],[0.9737839 0.006100412 0.0016003321 0.018515388]
1119,[368 679 1007 1330 1342 1343 2029 3089 5685 5912 6198 6280 6716 7368 10863],[5.201436e-06 2.9073628e-05 6.0143797e-05 1.0505196e-05 2.0641293e-05 0.00026214946 0.0010953397 9.0688234e-05 0.00047366985 0.0019119448 0.9683792 0.022876492 0.004579646 0.00018540173 1.9988167e-05]
1120,[369 1666 1853 2161 2978 3800 5428 5647 8097 8392 9053],[1.4021625e-06 0.0016771874 0.00025529446 0.020538388 0.010278909 0.01815709 0.00027165512 0.0019208025 0.94311714 0.003380698 0.00040143298]
1121,[369 4949 9498],[0.01616587 0.9792088 0.004625287]
1122,[369 5880],[0.002851592 0.99714845]
1123,[370],[1.0]
1124,[370 490 7270],[0.00039433056 0.00097442436 0.9986312]
1125,[370 7270],[0.00012696758 0.99987304]
1126,[371 704 881 3002 3115 3392 5472 10472 10650 12022],[3.7661675e-08 4.01947e-08 3.5991174e-10 0.0017762679 0.12070406 0.032666504 0.8326507 0.009454525 2.9604675e-05 0.0027183082]
1127,[371 469 559 705 1662 2611 3115 5472 10340 11405 12231],[0.0019796938 0.00023566057 2.217529e-05 0.0011029005 4.7836544e-05 0.001424704 0.19509922 0.76710314 0.030616365 0.002275916 9.231637e-05]
1128,[371 1241 3730],[0.29055095 0.025912778 0.68353623]
1129,[372 1263 11323 11386],[0.03763745 0.08360443 0.6761579 0.20260024]
1130,[372 755 1263 2494 5061 6321 8053 8526 11323 11386],[4.5153683e-08 1.7889327e-07 5.7316043e-07 0.013016719 0.15942663 0.81535673 0.012067222 1.4387721e-06 4.8724023e-06 0.00012558604]
1131,[372 863 4115 5859 9128 9563 9679 11036 11836 11943 12224],[2.9899286e-07 4.5776237e-06 0.00016044288 0.8401946 0.15111153 0.00027158202 0.0034090732 0.00450067 0.0002670675 6.506838e-05 1.5133015e-05]
1132,[373 3876 6967 7626 9924],[5.347516e-05 0.20055683 0.13275233 0.20965295 0.45698443]
1133,[373 4328 4780 5372 8728 8851 10751],[2.2594757e-07 0.008456813 0.5366074 0.0004448943 0.41752782 0.036912665 5.0178594e-05]
1134,[374 484 532 709 1064 1079 1130 1768 2623 3423 3790 4195 5678 8484 9337 11105 11853 12268],[0.0001151694 9.505545e-06 2.1400544e-06 8.873723e-06 8.960437e-06 6.825718e-06 3.642545e-05 0.6493539 0.00093678816 5.7012985e-05 2.339459e-06 0.18292223 0.0018477784 1.3869649e-05 0.062495 0.00023731546 0.10188645 5.928266e-05]
1135,[374 532 709 9346 11143 11484 11561 11853 12268],[0.005073383 0.00051521196 0.0008939608 0.1130891 0.12076151 0.05971764 0.33019274 0.23521963 0.13453686]
1136,[374 532 709 8132 9666 11853 12268],[0.0036970873 0.00010899691 0.0008660324 0.05871165 0.9033026 0.010117159 0.023196427]
1137,[374 454 484 709 1223 1486 5760 7960 10314 11853 12268],[1.3477895e-05 1.711955e-05 1.6105718e-05 2.9808429e-05 9.759714e-07 0.0003723008 0.0018513984 0.98099476 0.014753831 0.0013462673 0.00060396333]
1138,[375 962 2123 3045 3108 4249 5032 5446 7079 7331 8373 9257 9675 10199],[3.659284e-07 7.196108e-08 5.745687e-06 1.0693527e-05 5.0969857e-07 7.2142626e-08 0.00011508033 8.124247e-05 3.6712143e-05 0.9980862 7.999646e-06 0.0015105602 0.00014458582 5.3803e-08]
1139,[376 513 670 1016 1585 2599 3772 8491 10254 11202],[3.4348745e-05 4.9709797e-05 2.5335536e-05 7.741786e-06 0.00055586285 0.9475984 2.4585523e-05 0.042465657 0.00911259 0.00012578133]
1140,[376 2363 2479 4055 5661 7318 8023 8535 8604 9582 10463 12322],[4.312236e-06 0.0020371901 0.00045533822 0.0005301471 0.00068287255 0.0010361844 0.93169314 0.013492372 0.017489258 0.011323148 0.020058103 0.0011978992]
1141,[377 2337 3511 4851],[0.026872398 0.1252499 0.79754806 0.050329644]
1142,[377 1018 4430 4933 7259 8138 9560 11448 11928],[3.0953595e-06 4.424791e-06 0.0039666826 0.003358077 0.94223446 0.03903096 0.011179157 0.00020416686 1.8829094e-05]
1143,[379 382 387 444 466 719 1175 1399 1844 2173 2336 2344 2566 2948 3281 3400 4058 4324 4409 4619 5418 5470 7572 7759 8065 8677 8794 8884 9046 9307 9550 9784 10020 10593 10622 10733 11400 11838 11848 11890],[2.7804903e-08 2.2124946e-07 3.087809e-06 1.5070302e-07 2.24463e-08 5.776786e-08 4.9669215e-09 2.693943e-07 0.00029464954 4.9441733e-06 7.240709e-07 5.053972e-05 5.662914e-06 4.745641e-08 8.462518e-05 0.0001513736 0.00038374262 2.2656377e-06 0.009820861 4.6513856e-06 0.0069967853 0.018182721 0.8223067 8.557598e-06 0.121417075 0.00027124566 4.8193033e-06 0.0033378634 0.00019346565 0.0017537329 0.014505435 1.8254901e-05 4.1682306e-06 7.644395e-07 1.1660063e-05 0.000144312 1.2078925e-05 1.8581009e-06 2.0598858e-05 2.4300347e-08]
1144,[379 1313 3552 3581 7495 9405 9495 11160 11985],[9.749076e-09 0.00019318957 0.9911561 0.0018836022 0.0014210434 0.0030115254 0.00015351383 0.00027067808 0.0019102828]
1145,[379 2858 3973 5816 7758 9203 10343 11884 12248],[1.8526032e-05 2.4264427e-05 0.0039023738 0.9308819 0.038178056 0.0018450991 0.025103603 2.2984505e-06 4.386335e-05]
1146,[379 916 1020 1521 1620 1833 1975 2496 7327 7450 12289],[2.8121826e-07 2.3580679e-08 3.456658e-08 7.954701e-06 3.9950314e-07 8.453091e-06 1.3512407e-07 3.980532e-08 6.340907e-05 0.9999193 1.0312108e-09]
1147,[380 880 1097 4588 7656],[0.0003926863 0.0004604227 0.0039170845 0.0010290904 0.9942007]
1148,[380 821 1604 2133 2599 2851 3399 3603 5102 8931 9374 11429],[0.00022180547 4.6601752e-05 0.0023518556 0.0737611 0.0017088118 0.0010743942 0.02341271 0.056782685 0.049366504 0.0008592748 0.7156709 0.07474336]
1149,[380 625 906 1589 1953 4328 5195 8740 9314 9352 9902 10342 11367 12052],[2.1980169e-07 0.00013488662 2.216409e-06 3.8413386e-06 6.0413604e-06 6.8668814e-05 0.0023562636 0.00012622614 0.0022633227 0.00023672912 0.9875042 0.0057791374 0.00068219285 0.0008360546]
1150,[381 786 1014 6240 6683 6868],[0.00052177504 0.0022646184 0.07151905 0.02817009 0.89691776 0.0006067703]
1151,[382 405 461 719 3281 3698 5121 5138 5174 5470 9733 10620 10888 11141 11285 11720],[2.6261505e-06 3.930349e-07 1.8760592e-06 8.560889e-07 6.7160785e-05 8.7271314e-07 0.0006269944 0.03065448 0.94051504 0.027615895 0.00021596234 6.997303e-05 2.1901405e-05 0.00019047761 1.5211472e-05 3.3992285e-07]
1152,[382 719 1024 2231 3144 5969 11874 12020 12334],[0.00468038 0.010466677 0.0020309454 0.0080346735 0.0073564947 0.09418044 0.0032682358 0.24976517 0.620217]
1153,[383 853 882 1483 1565 1594 2709 5490 6486 6964 7278 7622 7688 7838 8027 10128 10971 11121 11430 11732 11780 11822 11855 12083 12117 12222],[0.00013741726 4.7602087e-05 5.3259617e-05 4.1581883e-05 0.00021972088 0.00075545086 0.0037148779 0.0054711425 0.49523795 0.39898652 0.068789415 0.00041626484 0.0059871124 0.0006479146 0.00016113793 0.00012364234 0.006857846 0.005746855 1.4318154e-05 0.0017606326 0.000727403 7.5250596e-06 0.0007532606 0.0015985057 0.00020790666 0.00153461]
1154,[384 1514 1865 2274 3017 3690 4219 4564 4735 4935 5081 5399 6246 6758 6774 6784 7451 7753 7878 9082 9407 9515 9522 9549 10637 11144 11633 11880 12180],[4.2469956e-09 3.7243392e-08 1.6099071e-05 4.9971357e-05 6.915021e-05 0.00020360692 0.00011833528 0.00033305073 0.0014400359 0.0009790204 2.0424188e-06 0.00056050543 0.0003206313 0.012429469 0.92113054 0.0019754446 0.03606987 0.006579693 0.005262256 0.0011855641 0.0066871783 1.5607035e-06 0.003653503 0.000674864 8.1361753e-07 0.0002222993 4.154036e-06 2.9275432e-05 8.602197e-07]
1155,[384 803 12248],[0.3115647 0.55701214 0.13142309]
1156,[384 1380 1396 1817 2941 2962 3489 3505 9127 10953 12096],[0.0001743781 0.0060567735 6.146242e-05 0.018310413 0.92219585 0.0002426742 0.007563916 0.00015691837 0.044207685 0.00055057975 0.0004793944]
1157,[385 442 488 698 994 1061 1092 1392 1433 1449 1609 1938 2137 2401 2787 2864 3771 4342 4893 5081 5330 8029 8620 9551 10622 11350 11426 11482 11897 11972],[6.3929197e-06 8.479894e-08 5.3101817e-06 1.8586759e-06 2.8694498e-07 3.1516051e-06 1.0147445e-06 8.006849e-06 1.6592143e-05 4.020125e-05 9.439972e-06 0.0002662604 0.0017744611 0.00014993278 0.000612493 0.0004882887 0.0009508959 0.00012164956 0.00026605622 0.1955455 0.008546742 0.6471601 0.13549788 0.0003734315 0.0067933267 0.0010095997 3.4718163e-05 0.0002121258 2.0839272e-05 8.332268e-05]
1158,[387 1548 3142 4147 4680 4781 4946 11608 11641 11733 12136],[3.8250208e-05 0.0010766098 0.025592146 0.2569295 0.05269973 0.1540668 0.49808103 0.001872589 0.003866055 0.0057010264 7.62504e-05]
1159,[387 1969 2442 2799 9373],[7.546626e-06 0.30462894 0.0018931723 0.07937166 0.6140987]
1160,[388 626 922 960 1343 1588 2259 2705 5553 7206 8598],[5.6594512e-05 2.350073e-05 2.8434637e-05 2.2359016e-05 9.46632e-06 0.00112865 7.008739e-05 0.0008687455 0.00064129435 0.0020705548 0.99508035]
1161,[388 1064 1702 3029 5553 5641 6830 8943 9217 10941],[1.39302e-06 2.9521428e-07 3.726406e-05 0.00018576143 2.5258205e-06 0.998401 9.617473e-05 0.0009303458 3.191726e-05 0.00031341042]
1162,[389 1329 2909 3793 5840 5991 6355 9192],[5.7679476e-06 5.4530185e-05 3.027427e-07 0.06319706 0.5565207 0.16432329 0.0072917663 0.20860653]
1163,[390 576 690 838 941 1647 1928 2730 2976 3823 6155 6881 7433 10432 10687 11211 11915 11926 12133],[0.00010084234 6.221474e-05 0.00021108406 6.473067e-05 2.0668145e-05 1.2934658e-05 0.022927385 0.0006660821 0.00915398 0.012912493 0.01411545 0.8976276 0.03857393 6.1919614e-05 0.00032564945 6.6665402e-06 2.6549082e-05 0.0023669293 0.0007629644]
1164,[390 4447],[1.7400487e-06 0.9999982]
1165,[390 1647],[0.3428352 0.6571648]
1166,[391 514 825 887 951 976 982 1038 1111 1424 1728 2056 2531 2566 2576 3214 3432 3477 3493 3627 4235 4387 4766 6598 6679 8155 8309 9282 9527 9813 10067 10070 10216 10348 10660 10756 10885 11087 11261 11347 11389 11400 11414 11500 11674 11734 12056 12150 12173 12296 12308],[2.1346841e-07 9.184621e-08 1.4845359e-09 7.949442e-09 7.39875e-09 8.365226e-09 1.174573e-07 2.8932904e-08 3.392543e-08 2.8212103e-06 0.00069488265 4.3247543e-05 0.010723477 5.7847325e-07 0.7020607 5.895767e-05 1.607645e-05 8.960035e-06 0.0013316425 5.3804347e-06 1.7794414e-07 0.00701473 3.886965e-05 0.2651229 4.7604112e-07 0.0042493897 2.691485e-05 0.0068806014 5.2643145e-06 1.5313457e-06 8.7056915e-06 0.0007309579 0.00058433623 5.842423e-06 9.864063e-07 1.9866188e-06 2.5734835e-06 3.7097939e-06 3.2341552e-09 0.00014413099 1.1942937e-05 0.00011867486 2.5180809e-05 2.312134e-05 4.5415065e-05 9.126897e-08 5.8762436e-07 7.469291e-09 2.9805194e-06 7.7046614e-08 7.44688e-07]
1167,[391 416 429 444 878 947 976 1008 1051 1126 1128 1189 1913 2099 2144 2382 2948 3021 3189 3773 3880 6904 7333 7865 8309 10348 11207 11359 11613 11886 12152],[0.01462853 2.2259612e-05 7.623427e-05 2.6509832e-05 0.00095078244 3.0684856e-05 7.633947e-05 2.3143377e-05 5.0370574e-05 1.9343914e-05 2.2053595e-05 6.508796e-05 0.0011384592 0.09474854 0.005622744 0.0005992534 2.567432e-05 0.18215972 0.14599723 0.0015203897 0.021413833 0.03374477 0.014449539 8.600451e-06 0.002724022 6.931799e-06 0.00030716756 2.0430309e-05 0.006907429 0.4724348 0.00017915251]
