18,[4 761 1942 1976 3522 3933 4614 7438 8883 8908 9772 10720 11673],[1.0332589e-05 1.2772983e-07 5.57e-05 0.035162468 0.00050431804 2.2945636e-05 0.0051207454 1.3231902e-05 0.9527607 0.0061688805 6.019172e-05 4.411322e-06 0.00011610027]
19,[4 671 1890 2054 3606 4307 7219],[9.390816e-08 8.2366554e-08 0.00043005164 1.1044096e-05 2.1666651e-06 2.5975482e-05 0.9995307]
20,[4 39 193 381 388 774 814 2357 2730 3325 3408 3454 5179 5695 6152 8733 8851 9839 10164 10686 11146 11340 11673 11827 12002 12134],[0.00414976 9.116969e-06 8.587148e-06 0.0049215066 1.2581778e-05 2.7600909e-06 5.3999796e-05 0.00020767863 8.0303704e-05 0.0015544379 2.3318371e-05 0.7421795 0.0011263727 0.0037026873 0.21167521 0.0029959576 0.0038387023 0.009451581 0.0044893664 0.001165977 0.0026476325 0.0011622113 0.0006088344 0.0012250995 0.00069858547 0.0020081394]
21,[4 137 637 656 3053 3305 6315 9839],[0.00045837395 1.0234988e-05 2.135019e-05 0.00013510036 0.13342375 0.0017495388 0.01152613 0.8526755]
22,[5],[1.0]
23,[6 304 501 1188 1190 1267 1348 1581 4217 4866 7126 7192 8145 9269 10822 11342 12208 12220],[5.080942e-07 9.09445e-09 1.2237622e-07 3.4284522e-09 5.1866764e-09 2.4489663e-07 1.203228e-07 4.4999094e-08 0.0010751141 4.7132435e-06 4.5901197e-06 0.0006643751 0.9977981 0.00044366458 5.248637e-07 7.3094884e-06 6.023152e-08 5.9317375e-07]
24,[6 197 600 820 924 948 1035 1406 1450 1500 1550 1601 1987 3227 3244 3753 4349 4939 5006 6337 9273 10380 10673 11062 11622],[0.070807576 0.0044132723 0.010935309 0.0067943702 0.004236347 0.004095426 0.0017370784 0.008661917 0.0028180284 0.0005845551 0.026643766 4.4690558e-05 0.048961435 0.0023870326 0.12225664 0.14492348 0.052630346 0.046182156 0.02103733 0.019619687 0.0019133529 0.0001288415 0.39375168 0.0041605523 0.0002751199]
25,[6 814 3739 7770 9666],[0.0046717576 6.443527e-05 0.029644614 0.33495805 0.63066113]
26,[6 5130 7331 11137 11935 11978],[0.0019951086 0.4820264 0.25749686 0.00041917554 0.00022516225 0.2578372]
27,[6 364 1319 1334 1556 1983 2808 3399 3655 3656 3842 4476 4977 8068 8740 9720 11397 11629],[0.058890216 0.00023076072 7.5039093e-06 8.296028e-05 2.0882435e-05 0.000396537 0.005678172 0.018935474 0.38501757 0.26424724 0.19402865 0.02242819 0.030947521 0.0002860705 0.001089653 0.002374327 0.013922519 0.0014158143]
